Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,MIC,MIC,2021,26.66,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,MIC,MIC,2017,14.93,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,North America,NAC,2021,66.87,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,North America,NAC,2017,63.99,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,OECD members,OED,2021,56.18,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,OECD members,OED,2017,50.18,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,South Asia,SAS,2021,5.4,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,South Asia,SAS,2017,1.91,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Sub-Saharan Africa,SSF,2021,14.1,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Sub-Saharan Africa,SSF,2017,4.12,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Sub-Saharan Africa (excluding high income),SSA,2021,14.1,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Sub-Saharan Africa (excluding high income),SSA,2017,4.12,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Upper middle income,UMC,2021,49.03,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Upper middle income,UMC,2017,27.24,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,World,WLD,2021,31.84,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,World,WLD,2017,20.44,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Afghanistan,AFG,2021,0.07,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Afghanistan,AFG,2017,0,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Albania,ALB,2021,2.95,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Albania,ALB,2017,1.05,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Algeria,DZA,2021,3.19,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Algeria,DZA,2017,1.34,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Argentina,ARG,2021,30.05,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Argentina,ARG,2017,10.8,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Armenia,ARM,2021,14.05,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Armenia,ARM,2017,7.58,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Australia,AUS,2021,82.67,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Australia,AUS,2017,67.04,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Austria,AUT,2021,62.69,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Austria,AUT,2017,45.84,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Azerbaijan,AZE,2017,4.19,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Bahrain,BHR,2017,33.25,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Bangladesh,BGD,2021,4.72,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Bangladesh,BGD,2017,1.54,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Belarus,BLR,2017,45.45,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Belgium,BEL,2021,75.29,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Belgium,BEL,2017,64.74,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Benin,BEN,2021,3.37,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Benin,BEN,2017,1.85,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Bolivia,BOL,2021,8.66,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Bolivia,BOL,2017,4.14,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Bosnia and Herzegovina,BIH,2021,10.27,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Bosnia and Herzegovina,BIH,2017,7.38,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Botswana,BWA,2017,6.23,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Brazil,BRA,2021,34.26,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Brazil,BRA,2017,9.52,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Bulgaria,BGR,2021,27.6,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Bulgaria,BGR,2017,12.49,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Burkina Faso,BFA,2021,5.59,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Burkina Faso,BFA,2017,2.44,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Cambodia,KHM,2021,1.9,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Cambodia,KHM,2017,0.16,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Cameroon,CMR,2021,9.21,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Cameroon,CMR,2017,3.26,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Canada,CAN,2021,73.87,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Canada,CAN,2017,69.06,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Central African Republic,CAF,2017,2.86,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Chad,TCD,2017,0.52,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Chile,CHL,2021,50.4,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Chile,CHL,2017,20.59,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,China,CHN,2021,59.32,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,China,CHN,2017,36.06,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Colombia,COL,2021,15.49,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Colombia,COL,2017,6.84,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,"Congo, Dem. Rep.",COD,2017,1.73,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,"Congo, Rep.",COG,2021,10.73,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,"Congo, Rep.",COG,2017,1.98,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Costa Rica,CRI,2021,29.69,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Costa Rica,CRI,2017,16.91,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Cote d'Ivoire,CIV,2021,10.61,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Cote d'Ivoire,CIV,2017,4.54,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Croatia,HRV,2021,40.04,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Croatia,HRV,2017,42.17,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Cyprus,CYP,2021,44.83,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Cyprus,CYP,2017,28.24,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Czechia,CZE,2021,68.23,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Czechia,CZE,2017,53.82,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Denmark,DNK,2021,82.38,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Denmark,DNK,2017,79.14,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Dominican Republic,DOM,2021,7.45,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Dominican Republic,DOM,2017,7.97,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Ecuador,ECU,2021,12.85,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Ecuador,ECU,2017,3.41,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,"Egypt, Arab Rep.",EGY,2021,1.35,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,"Egypt, Arab Rep.",EGY,2017,1.61,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,El Salvador,SLV,2021,5.79,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,El Salvador,SLV,2017,3.41,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Estonia,EST,2021,90.16,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Estonia,EST,2017,72.32,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Ethiopia,ETH,2017,0.4,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Finland,FIN,2021,88.8,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Finland,FIN,2017,84.74,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,France,FRA,2021,42.73,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,France,FRA,2017,39.26,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Gabon,GAB,2021,34.81,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Gabon,GAB,2017,11.77,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,"Gambia, The",GMB,2017,1.44,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Georgia,GEO,2021,26.62,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Georgia,GEO,2017,11.93,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Germany,DEU,2021,58.21,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Germany,DEU,2017,56.61,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Ghana,GHA,2021,8.03,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Ghana,GHA,2017,3,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Greece,GRC,2021,56.72,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Greece,GRC,2017,14.12,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Guatemala,GTM,2017,2.65,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Guinea,GIN,2021,3.06,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Guinea,GIN,2017,1.85,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Haiti,HTI,2017,5.87,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Honduras,HND,2021,6.56,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Honduras,HND,2017,2.07,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,"Hong Kong SAR, China",HKG,2021,64.56,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,"Hong Kong SAR, China",HKG,2017,38.61,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Hungary,HUN,2021,48.56,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Hungary,HUN,2017,25.88,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Iceland,ISL,2021,80.56,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,India,IND,2021,5.98,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,India,IND,2017,1.88,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Indonesia,IDN,2021,7.84,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Indonesia,IDN,2017,5.72,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,"Iran, Islamic Rep.",IRN,2021,26.61,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,"Iran, Islamic Rep.",IRN,2017,34.74,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Iraq,IRQ,2021,5.93,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Iraq,IRQ,2017,5.48,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Ireland,IRL,2021,64.33,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Ireland,IRL,2017,50.73,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Israel,ISR,2021,45.89,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Israel,ISR,2017,35.17,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Italy,ITA,2021,32.84,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Italy,ITA,2017,33.48,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Jamaica,JAM,2021,12.35,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Japan,JPN,2021,29.14,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Japan,JPN,2017,16.73,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Jordan,JOR,2021,3.88,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Jordan,JOR,2017,0.67,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Kazakhstan,KAZ,2021,52.71,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Kazakhstan,KAZ,2017,21.2,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Kenya,KEN,2021,37.64,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Kenya,KEN,2017,17.83,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,"Korea, Rep.",KOR,2021,59.26,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,"Korea, Rep.",KOR,2017,63.51,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Kosovo,XKX,2021,7.76,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Kosovo,XKX,2017,4.71,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Kuwait,KWT,2017,32.51,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Kyrgyz Republic,KGZ,2021,7.68,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Kyrgyz Republic,KGZ,2017,2.71,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Lao PDR,LAO,2021,9.32,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Lao PDR,LAO,2017,2.72,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Latvia,LVA,2021,77.65,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Latvia,LVA,2017,59.11,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Lebanon,LBN,2021,0.56,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Lebanon,LBN,2017,3.85,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Lesotho,LSO,2017,7.53,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Liberia,LBR,2021,7.24,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Liberia,LBR,2017,0.49,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Libya,LBY,2017,8.98,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Lithuania,LTU,2021,52.78,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Lithuania,LTU,2017,46.01,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Luxembourg,LUX,2017,62.42,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Madagascar,MDG,2017,0.83,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Malawi,MWI,2021,8.86,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Malawi,MWI,2017,4.44,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Malaysia,MYS,2021,34.29,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Malaysia,MYS,2017,25.02,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Maldives,MDV,2017,21.23,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Mali,MLI,2021,7.72,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Mali,MLI,2017,2.54,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Malta,MLT,2021,48.73,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Malta,MLT,2017,38.34,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Mauritania,MRT,2017,1.06,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Mauritius,MUS,2021,16.85,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Mauritius,MUS,2017,6.1,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Mexico,MEX,2017,7.83,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Moldova,MDA,2021,21.52,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Moldova,MDA,2017,27.35,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Mongolia,MNG,2021,47.34,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Mongolia,MNG,2017,14.57,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Montenegro,MNE,2017,5.03,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Morocco,MAR,2021,4.79,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Morocco,MAR,2017,0.2,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Mozambique,MOZ,2021,11.54,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Mozambique,MOZ,2017,6.44,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Myanmar,MMR,2021,11.52,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Myanmar,MMR,2017,0.79,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Namibia,NAM,2021,16.53,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Namibia,NAM,2017,9.41,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Nepal,NPL,2021,3.71,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Nepal,NPL,2017,0.37,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Netherlands,NLD,2021,74.2,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Netherlands,NLD,2017,78.22,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,New Zealand,NZL,2021,82.06,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,New Zealand,NZL,2017,75.28,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Nicaragua,NIC,2021,4.67,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Nicaragua,NIC,2017,3.43,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Niger,NER,2017,2.12,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Nigeria,NGA,2021,6.09,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Nigeria,NGA,2017,1.84,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,North Macedonia,MKD,2021,23.5,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,North Macedonia,MKD,2017,9.78,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Norway,NOR,2021,86.98,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Norway,NOR,2017,87.46,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Pakistan,PAK,2021,3.04,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Pakistan,PAK,2017,2.77,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Panama,PAN,2021,15.92,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Panama,PAN,2017,3.54,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Paraguay,PRY,2021,10.8,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Paraguay,PRY,2017,4.48,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Peru,PER,2021,15.28,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Peru,PER,2017,4.29,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Philippines,PHL,2021,17.71,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Philippines,PHL,2017,3.29,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Poland,POL,2021,67.28,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Poland,POL,2017,52.89,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Portugal,PRT,2021,35.46,
"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a.t.d.1,Portugal,PRT,2017,27.66,
